Title,Author,Status,Format,Genres,Mood,Year,Rating
The Psychology of Money,Morgan Housel,Owned,Audiobook,Self-Help; Nonfiction,Thought-provoking,2020,
Slow Productivity,Cal Newport,Owned,Audiobook,Self-Help,Slow & Contemplative,2024,
The Things You Can See Only When You Slow Down,Haemin Sunim,Owned,Audiobook,Philosophy; Self-Help,Cozy; Slow & Contemplative,2017,
Make Epic Money,Ankur Warikoo,Owned,Audiobook,Self-Help,Uplifting,,
To the Lighthouse,Virginia Woolf,Owned,Audiobook,Classic Literature; Fiction,Thought-provoking; Slow & Contemplative; Suspenseful,1927,
Normal People,Sally Rooney,Owned,Audiobook,Classic Literature; Fiction,Bittersweet,2018,
The Greatest Show on Earth,Richard Dawkins,Owned,Audiobook,Nonfiction,Thought-provoking,2009,
Universe in a Nutshell,Stephen Hawking,Owned,Audiobook,Nonfiction,Adventurous; Thought-provoking,2000,
The Theory of Everything,Stephen Hawking,Owned,Audiobook,Nonfiction,Adventurous; Thought-provoking,2002,
Limitless,Jim Kwik,Owned,Audiobook,Self-Help,Uplifting,2020,
Penguin Sleep Tales,Penguin,Owned,Audiobook,Fiction,Cozy,1800,
Love in the Time of Cholera,Gabriel García Márquez,Owned,Audiobook,Romance; Classic Literature,Bittersweet,1985,
Angels in America,Tony Kushner,Owned,Audiobook,Poetry & Drama,Dark & Moody; Thought-provoking,1993,
Treasure Island,Robert Louis Stevenson,Owned,Audiobook,Classic Literature,Adventurous,1880,
Make Time,Jake Knapp; John Zeratsky,Owned,Audiobook,Self-Help,Uplifting,2018,
The Tales of Max Carrados,Ernest Bramah,Owned,Audiobook,Mystery & Thriller; Comedy,Suspenseful; Whimsical,2016,
George Cragge: In the Red & Other Mysteries,Mark Tavener,Owned,Audiobook,Mystery & Thriller; Poetry & Drama,Fast-paced; Whimsical,,
"Shakespeare's Sonnets, Retold",William Shakespeare; James Anthony,Owned,Audiobook,Romance; Poetry & Drama,Thought-provoking,1508,
The Arabian Nights,Andrew Lang,Owned,Audiobook,Fantasy,Adventurous,1898,
Aesop's Fables,Aesop,Owned,Audiobook,Classic Literature,Whimsical,1848,
Lord Peter Wimsey: BBC Radio Drama Collection Volume 1,Dorothy L. Sayers,Owned,Audiobook,Mystery & Thriller; Poetry & Drama,Suspenseful; Whimsical,2018,
Yes Minister & Yes Prime Minister,Antony Jay; Jonathan Lynn,Owned,Audiobook,Comedy,Whimsical,1989,
The Brothers Karamazov,Fyodor Dostoyevsky,Owned,Audiobook,Philosophy; Classic Literature,Dark & Moody; Thought-provoking,1880,
Classics of American Literature,Arnold Weinstein,Owned,Audiobook,Classic Literature,Thought-provoking,1998,
The Happy Prince & Other Tales,Oscar Wilde,Owned,Audiobook,Fantasy; Classic Literature,Heartwarming; Whimsical; Bittersweet,1888,
The Oscar Wilde Collection,Oscar Wilde,Owned,Audiobook,Gothic; Poetry & Drama,Dark & Moody; Whimsical,1890,
The Ultimate Horror Collection,Various,Owned,Audiobook,Gothic; Horror,Dark & Moody; Suspenseful,1818,
A Woman of No Importance,Oscar Wilde,Owned,Audiobook,Poetry & Drama; Comedy,Whimsical,1893,
Readers Digest's Humor in Uniform,Reader's Digest,Owned,Audiobook,Comedy,Whimsical; Nostalgic,2008,
Studying Wuthering Heights,Emily Brontë,Owned,Audiobook,Classic Literature,Dark & Moody; Thought-provoking; Suspenseful,1846,
The Mysteries of Udolpho,Ann Radcliffe,Owned,Audiobook,Mystery & Thriller; Romance,Adventurous; Dark & Moody; Suspenseful,1794,
